,ID,VALENCE,AROUSAL,EMOTION
0,39,1,5,ANGER
1,40,7,8,ANGER
2,2,1,1,ANGER
3,68,1,9,ANGER
4,81,2,7,ANGER
5,77,1,7,ANGER
6,106,1,6,ANGER
7,103,3,8,ANGER
8,117,1,9,ANGER
9,1,1,8,ANGER
10,25,1,5,ANGER
11,47,1,9,ANGER
12,4,1,8,ANGER
13,24,1,8,ANGER
14,36,1,6,ANGER
15,12,1,9,ANGER
16,14,1,7,ANGER
17,15,1,5,ANGER
18,35,3,7,ANGER
19,121,1,7,ANGER
20,122,1,7,ANGER
21,76,1,7,ANGER
22,66,1,9,ANGER
23,61,3,5,ANGER
24,107,3,6,ANGER
25,34,1,9,ANGER
26,16,1,5,ANGER
27,124,1,8,ANGER
28,126,1,8,ANGER
29,78,1,7,ANGER
30,72,1,3,ANGER
31,55,1,9,ANGER
32,49,1,8,ANGER
33,92,1,5,ANGER
34,129,1,6,ANGER
35,131,1,9,ANGER
36,137,3,6,ANGER
37,91,1,4,ANGER
38,79,1,9,ANGER
39,45,1,9,ANGER
40,86,1,9,ANGER
41,138,1,8,ANGER
42,159,1,8,ANGER
43,160,1,9,ANGER
44,141,1,7,ANGER
45,128,1,5,ANGER
46,56,3,7,ANGER
47,39,3,6,FEAR
48,40,2,1,FEAR
49,2,4,5,FEAR
50,68,1,9,FEAR
51,81,2,7,FEAR
52,77,3,3,FEAR
53,106,1,8,FEAR
54,103,1,1,FEAR
55,117,3,7,FEAR
56,1,1,9,FEAR
57,25,3,6,FEAR
58,47,1,5,FEAR
59,4,1,7,FEAR
60,24,1,3,FEAR
61,36,3,2,FEAR
62,12,1,7,FEAR
63,14,5,5,FEAR
64,15,1,4,FEAR
65,35,6,7,FEAR
66,121,3,2,FEAR
67,122,3,7,FEAR
68,76,7,7,FEAR
69,66,1,8,FEAR
70,61,4,6,FEAR
71,107,8,7,FEAR
72,34,3,5,FEAR
73,16,7,3,FEAR
74,124,1,6,FEAR
75,126,5,4,FEAR
76,78,6,6,FEAR
77,72,2,8,FEAR
78,55,2,5,FEAR
79,49,1,3,FEAR
80,92,1,6,FEAR
81,129,4,5,FEAR
82,131,1,5,FEAR
83,137,7,3,FEAR
84,91,7,2,FEAR
85,79,7,5,FEAR
86,45,1,3,FEAR
87,86,7,7,FEAR
88,138,3,2,FEAR
89,159,4,5,FEAR
90,160,3,5,FEAR
91,141,2,2,FEAR
92,128,5,3,FEAR
93,56,5,5,FEAR
94,39,7,8,HAPPINESS
95,40,8,6,HAPPINESS
96,2,8,7,HAPPINESS
97,68,7,1,HAPPINESS
98,81,6,6,HAPPINESS
99,77,9,6,HAPPINESS
100,106,8,7,HAPPINESS
101,103,9,7,HAPPINESS
102,117,9,9,HAPPINESS
103,1,8,7,HAPPINESS
104,25,7,8,HAPPINESS
105,47,1,8,HAPPINESS
106,4,7,5,HAPPINESS
107,24,7,7,HAPPINESS
108,36,5,4,HAPPINESS
109,12,9,9,HAPPINESS
110,14,3,1,HAPPINESS
111,15,9,8,HAPPINESS
112,35,8,7,HAPPINESS
113,121,9,4,HAPPINESS
114,122,8,8,HAPPINESS
115,76,9,8,HAPPINESS
116,66,7,5,HAPPINESS
117,61,7,3,HAPPINESS
118,107,9,7,HAPPINESS
119,34,5,8,HAPPINESS
120,16,7,7,HAPPINESS
121,124,7,6,HAPPINESS
122,126,8,8,HAPPINESS
123,78,8,6,HAPPINESS
124,72,7,6,HAPPINESS
125,55,9,8,HAPPINESS
126,49,8,7,HAPPINESS
127,92,9,7,HAPPINESS
128,129,8,7,HAPPINESS
129,131,9,8,HAPPINESS
130,137,7,6,HAPPINESS
131,91,9,7,HAPPINESS
132,79,8,7,HAPPINESS
133,45,3,2,HAPPINESS
134,86,8,7,HAPPINESS
135,138,7,5,HAPPINESS
136,159,8,7,HAPPINESS
137,160,7,6,HAPPINESS
138,141,7,6,HAPPINESS
139,128,7,4,HAPPINESS
140,56,9,7,HAPPINESS
141,39,1,3,SADNESS
142,40,6,6,SADNESS
143,2,2,7,SADNESS
144,68,1,7,SADNESS
145,81,3,7,SADNESS
146,77,1,6,SADNESS
147,106,1,7,SADNESS
148,103,5,7,SADNESS
149,117,1,8,SADNESS
150,1,1,8,SADNESS
151,25,1,9,SADNESS
152,47,1,7,SADNESS
153,4,1,8,SADNESS
154,24,1,6,SADNESS
155,36,1,7,SADNESS
156,12,1,8,SADNESS
157,14,1,6,SADNESS
158,15,1,7,SADNESS
159,35,4,6,SADNESS
160,121,1,4,SADNESS
161,122,1,7,SADNESS
162,76,1,4,SADNESS
163,66,1,8,SADNESS
164,61,2,8,SADNESS
165,107,1,6,SADNESS
166,34,1,7,SADNESS
167,16,1,2,SADNESS
168,124,1,8,SADNESS
169,126,1,9,SADNESS
170,78,1,8,SADNESS
171,72,1,3,SADNESS
172,55,1,9,SADNESS
173,49,1,8,SADNESS
174,92,2,5,SADNESS
175,129,1,9,SADNESS
176,131,1,8,SADNESS
177,137,1,5,SADNESS
178,91,1,7,SADNESS
179,79,1,7,SADNESS
180,45,1,5,SADNESS
181,86,1,8,SADNESS
182,138,2,5,SADNESS
183,159,1,6,SADNESS
184,160,1,8,SADNESS
185,141,2,6,SADNESS
186,128,1,7,SADNESS
187,56,1,9,SADNESS
